Code,Description,Sell,Matrix Master,Inventoried,Inventory,Quantity Total,Quantity Reserved,Quantity in Warehouses,Quantity Ordered For Customers,Quantity Ordered For Stock
OCSO12800/4GB,4GB DDR3 1600/PC3-12800 SODIMM,39,unchecked,checked,3,3,0,0,0,0
923-01093,5.5-inch Display Protective Cover,0,unchecked,unchecked,1,1,0,0,0,0
923-01921,5.8-inch Display Protective Cover  10PK,0,unchecked,unchecked,2,2,0,0,0,0
OWCS3DAP12R500,500GB OWC Aura Pro 6Gb/s SSD for MacBook Pro with Retina Display (2012 - Early 2013),179,unchecked,checked,0,0,0,0,0,0
661-10624,512GB  Silver  iPhone Xs Max  NA  CI/AR,599,unchecked,unchecked,1,1,0,0,0,0
661-06861,512GB  Space Gray  iPad Pro 10.5-inch  Wi-Fi,469,unchecked,unchecked,0,0,0,0,0,0
661-06671,61W Usb C Power Adapter  Worldwide,0,unchecked,unchecked,1,1,0,0,0,0
661-10160,61W  USB-C Power Adapter  Worldwide,0,unchecked,unchecked,1,1,0,0,0,0
661-13261,64GB  Black  NA  iPhone 11  CI/AR,0,unchecked,unchecked,2,2,0,0,0,0
661-10857,64GB  Blue  NA  iPhone XR  CI/AR KXKV,0,unchecked,unchecked,1,1,0,0,0,0
661-10856,64GB  Coral  NA  iPhone XR  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-10627,64GB  Gold  iPhone Xs Max  NA  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-10476,64GB  Gold  iPhone Xs  NA  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-08497,64GB  Gold  MM  iPhone 8 Plus  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-13749,64GB  Midnight Green  NA  iPhone 11 Pro Max  CI/AR,599,unchecked,unchecked,0,0,0,0,0,0
661-13180,64GB  Midnight Green  NA  iPhone 11 Pro  CI/AR,0,unchecked,unchecked,0,0,0,0,0,1
661-13265,64GB  Purple  NA  iPhone 11  CI/AR N72N,0,unchecked,unchecked,2,2,0,0,0,0
661-13263,64GB  Red  NA  iPhone 11  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-10854,64GB  Red  NA  iPhone XR  CI/AR,0,unchecked,unchecked,4,4,0,0,0,0
661-08695,64GB  Silver  GSM  iPhone X  CI/AR,569,unchecked,unchecked,0,0,0,0,0,0
661-10618,64GB  Silver  iPhone Xs Max  NA  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-10475,64GB  Silver  iPhone Xs  NA  CI/AR,0,unchecked,unchecked,2,2,0,0,0,0
661-08713,64GB  Silver  MM  iPhone X  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-08754,64GB  Space Gray  GSM  iPhone 8,0,unchecked,unchecked,1,1,0,0,0,0
661-08477,64GB  Space Gray  GSM  iPhone 8 Plus  CI/AR,399,unchecked,unchecked,1,1,0,0,0,0
661-08067,64GB  Space Gray  iPad Pro 10.5-inch  Wi-Fi,449,unchecked,unchecked,0,0,0,0,0,0
661-10474,64GB  Space Gray  iPhone Xs  NA  CI/AR,549,unchecked,unchecked,0,0,0,0,0,0
